Month,Year,SKUW1,SKUW2,SKUW3,SKUA1,SKUA2,SKUA3,SKUT1,SKUT2,SKUT3,SKUT4,SKUD1,SKUD2,SKUD3,SKUC1,SKUC2,SKUE1,SKUE2,SKUE3
January,2026,21440,28159,27136,12495,15406,31657,22821,37530,20175,18741,41374,29450,39063,50731,40169,31574,38560,4578
February,2026,22723,31892,25368,12844,18857,34793,26032,37105,21954,20527,52469,31190,38678,51020,43194,34231,40275,4808
March,2026,23094,28675,28911,14838,17997,37960,26793,33242,26330,21640,49754,29659,40639,53835,42117,39115,42001,4559
April,2026,25617,30054,26017,15727,20205,37768,25705,42550,25835,21394,51721,33343,45768,56743,46718,35970,42225,5110
May,2026,26885,32068,28760,16961,21530,39644,28925,45701,30206,25306,53438,34128,50107,58540,48801,38784,47515,5647
June,2026,31364,33993,32455,18750,28142,48071,31370,34873,32130,28510,65106,36854,49345,67168,57593,44355,49935,6125
July,2026,31636,36789,40720,18469,29404,50810,37892,54887,35384,29018,74168,43381,62359,71837,56157,51685,55332,6271
August,2026,40241,52619,45016,24928,40386,67032,46921,48657,37466,35525,78873,47070,74200,86482,77715,63332,66820,7963
September,2026,33897,38951,39432,20707,23709,47810,34245,42667,32454,28730,66358,42004,58137,73791,56617,50163,57133,6329
October,2026,27396,43290,34112,15659,19162,40795,27989,33438,26984,25403,50697,32129,49882,57601,46978,40911,44737,5180
November,2026,25020,41661,31394,14906,25512,43715,30309,40897,27279,23385,52540,32464,45511,57491,44994,36755,42124,5203
December,2026,25101,33474,31095,13785,18211,42302,28766,42258,24006,24053,55600,29227,45287,56287,45351,36763,42842,4645
January,2027,26760,30907,29969,14360,25209,38156,26555,37439,25588,21635,49752,29758,41404,54931,45492,39812,43609,4913
February,2027,28332,38971,34053,16342,25047,46109,32426,31474,25097,25294,51756,34888,45073,60986,51398,37848,43678,5492
March,2027,29889,42244,36851,16268,20200,49107,30994,45097,26845,26148,56511,34780,46653,61922,46480,43793,47506,5409
April,2027,29771,37578,40248,16456,27402,48608,35726,43966,28868,28553,59626,35361,55700,66759,50510,43502,50136,5763
May,2027,33594,43327,42338,18400,24342,53103,36551,49396,34754,26451,70789,36434,51378,67620,54686,49458,55744,6403
June,2027,37079,48999,38956,18498,26841,56638,36691,48424,33223,30358,68219,42511,63471,74208,58525,52920,59378,6489
July,2027,38648,47327,52427,21592,30852,57430,44793,63452,41007,35495,79126,43866,61652,85101,61644,60102,65291,7437
August,2027,45688,83418,58845,27316,44525,67083,54724,68734,46672,42326,87896,57804,83101,106740,75275,71184,80521,9099
September,2027,36524,46660,44837,20003,34749,51735,40669,59292,33118,32740,75929,48494,59569,77726,63970,57397,60578,7281
October,2027,32650,52055,44640,18225,28007,48992,35747,44869,31862,26512,67131,39357,55298,67124,55039,50458,54645,6446
November,2027,31141,43802,39265,17307,23838,49589,34666,47556,27276,24767,62278,37510,49379,67649,55595,46385,49543,5793
December,2027,30525,40614,34265,15836,22476,42803,28951,44854,26622,25322,55959,34884,46751,63921,46249,42728,49486,5629
January,2028,28642,37562,38773,15157,24924,49271,30545,48905,28569,27349,56423,33237,54668,61795,51521,45604,48715,5704
February,2028,30261,52116,42555,16687,23658,50368,35770,39854,30117,27500,61719,39315,51172,64396,52257,45759,50020,5900
March,2028,32073,48979,40435,17988,26848,52126,34179,53048,32278,27843,63770,37579,61413,72512,53507,48784,53522,6457
April,2028,36509,50831,43437,19400,28761,54596,38835,49875,36503,32282,73780,40218,64664,77182,64092,54291,58424,6783
May,2028,37859,60693,47351,19520,29758,51052,37106,41982,37618,33707,75365,44260,59436,81407,58349,50967,59752,6775
June,2028,38171,62132,44601,21118,30646,57303,37758,44243,39507,32470,72578,44777,69174,82969,64997,52833,60270,7433
July,2028,46156,82946,63238,24808,32221,69843,45138,67521,42383,39459,84190,57156,77403,92419,72656,71034,76203,8285
August,2028,57297,100716,65140,26621,42447,78023,54843,60825,56088,46051,98971,64759,94769,114134,93113,78930,88022,9696
September,2028,43977,53185,58545,21649,38867,68618,47720,63952,40753,34678,82515,52699,64716,91422,68357,56942,70467,8253
October,2028,37162,57928,49219,20270,30485,50343,37863,44678,34941,29562,70646,45403,60263,79480,59856,50424,59995,7281
November,2028,36248,51050,43685,16765,28300,55673,33572,37902,32377,27816,69570,38551,58640,69898,63134,50568,53285,6411
December,2028,33833,52781,42030,16871,31667,47215,36073,43322,29432,27516,70515,41008,53384,68725,52445,47096,55261,6291
January,2029,32863,51580,43869,16597,22852,49307,32306,41362,30192,31420,60455,39252,55236,70740,59030,51319,52684,6544
February,2029,35924,66942,45899,17039,25868,48124,34201,45421,32967,31829,68244,41441,54704,71897,64545,50549,57007,6913
March,2029,39197,59131,52567,18798,25166,56849,40941,56431,35584,34440,68219,42253,57761,80219,57305,57579,57383,7192
April,2029,39329,51254,55136,18879,29188,60200,44708,58806,34846,36794,78331,43960,70113,84310,61505,55512,60388,7266
May,2029,40654,59025,54607,22041,34615,66460,46806,65599,37135,35664,80666,51513,72289,83228,66118,58160,68107,7728
June,2029,47370,73034,62771,22162,45107,67265,51508,67350,47915,44129,86995,59515,81629,101937,85476,67049,72329,8400
July,2029,51772,97476,61824,25960,34403,71836,58042,80483,50276,44240,96358,56778,82001,103252,88507,74406,78395,9566
August,2029,62465,88205,74461,28318,49005,79695,67404,89040,59230,54160,111290,72642,96972,124083,94523,81104,96808,11483
September,2029,44550,78931,52203,20578,32443,64624,45066,52053,41491,35631,77066,50095,70877,87635,70893,62060,69122,8444
October,2029,43941,60447,52641,21975,29880,62294,41004,62093,41988,35546,76193,51217,71377,87816,66950,62049,64527,7580
November,2029,37693,69828,50049,19843,31093,53606,41981,61675,36147,35047,81039,45910,64813,77938,67698,51730,62403,6809
December,2029,36944,67252,43542,18296,24748,60112,38782,49434,37802,30660,72682,41780,61344,75040,63827,49336,59869,6643
January,2030,37651,67247,44195,19339,26907,49096,40403,42483,37753,30679,74788,47173,67232,78200,67202,50960,58753,6597
February,2030,40959,77744,55085,19258,26432,62400,39437,49470,34950,30757,76289,44273,65466,81427,68188,56886,65271,7371
March,2030,41755,68105,48913,20512,38320,63233,39620,45667,41721,34588,74492,53871,66990,85295,73530,57706,67973,7253
April,2030,43758,77097,55468,19887,39751,65583,43941,51426,42906,38184,80076,47669,68927,95085,75185,65655,70773,7868
May,2030,46895,73756,54329,21823,38042,67461,46976,59826,45418,41196,81182,52134,73999,98750,74167,62139,76587,8260
June,2030,54250,78473,64939,26410,36420,77452,54335,78219,54174,50028,95198,69824,82196,116593,82226,77156,87541,9706
July,2030,58439,93698,77718,28670,39759,81874,59691,89927,54662,54470,107476,74751,102857,125789,100103,80793,94816,11168
August,2030,61871,99335,71543,26461,44336,86772,60741,75588,51487,53353,108824,74542,99496,125887,104581,87723,90667,10524
September,2030,47642,83336,65283,24124,45432,63554,50147,72875,43426,40294,96229,58655,79884,101460,74467,62589,75364,8410
October,2030,48758,78699,57206,23870,36322,67971,43749,53639,46814,36835,84525,56479,78410,95808,77237,67604,70039,8810
November,2030,41774,69527,53523,20359,27843,64913,47420,61962,36633,35089,83503,48798,74082,90495,73914,61189,64943,7741
December,2030,43396,69190,52961,20486,35183,53123,40209,50086,41539,33889,77974,43997,65073,81787,71380,56964,67341,7781
January,2031,41036,58835,50310,20404,33139,61126,41077,45257,37973,31993,77228,51451,65196,85330,62115,55822,61741,7737
February,2031,44634,62530,60645,20841,36944,64489,41891,62641,38151,34873,89130,50986,74810,88074,76461,56314,71095,7780
March,2031,46429,73926,59865,22893,37798,64486,46516,49236,43856,35725,82913,56817,81481,91543,74219,68963,72508,8504
April,2031,50185,73395,65302,22754,41947,69751,50042,59812,43730,38685,96544,55486,83266,98979,86308,63639,78018,9315
May,2031,51613,84291,75805,25598,36473,74368,51868,67882,51656,40471,89625,59435,76891,101628,86629,74104,78029,9306
June,2031,70338,111556,83740,31724,46872,105122,71125,73044,66228,59361,122987,79490,102587,135553,117121,96361,99666,12220
July,2031,65093,116359,95891,31176,59933,102919,62876,93663,61916,58837,118397,73414,114220,130978,111850,88184,105385,11193
August,2031,60329,90973,83447,27378,46404,93742,63135,94663,53855,48411,108918,67708,101074,126390,107582,78507,92282,11082
September,2031,52381,93259,78230,23656,37432,69351,51757,72946,50315,40204,103951,61544,91277,110153,92637,73289,84483,9042
October,2031,51954,88804,71003,23230,32927,70185,51636,60924,48648,42739,104154,58266,87144,103792,90061,68531,76290,9157
November,2031,49005,75809,57993,22926,31678,74011,43717,52480,40522,42309,87041,56273,78116,94438,77196,62118,69750,8876
December,2031,45574,76604,58552,21026,32815,62053,43626,63404,41183,38701,90771,56286,67611,86459,72570,58653,67534,8230
January,2032,47810,81312,59208,20050,42450,71335,50240,49539,45601,36831,81329,51831,69104,91939,72748,60946,70391,7879
February,2032,49305,92013,70150,22940,30786,65776,45230,72786,43020,39910,90918,53011,81176,98587,73688,64422,74230,8528
March,2032,50420,79156,67270,23333,33570,77939,53113,70647,44551,42600,95204,58019,86275,101545,85070,70623,77633,8959
April,2032,56679,82929,66942,22853,38505,78061,56582,75190,49059,47612,93117,57762,93133,104239,93233,68076,80017,9292
May,2032,64226,87403,86658,26431,47086,81515,61538,73493,56014,51921,110797,71430,96351,123016,100511,86602,91069,11357
June,2032,74939,107773,90369,30737,50838,101526,73457,101349,70097,57246,125233,78422,117627,148980,114596,100405,112082,12604
July,2032,77084,110642,100618,31165,62435,107170,73238,112920,63117,60490,146195,91787,127238,147812,119273,98062,112401,12960
August,2032,67368,115801,98129,30873,58323,86708,69806,90129,57178,55441,127945,73833,101646,127792,101004,94435,101354,11842
September,2032,56742,89064,79415,23367,38339,74971,53394,80879,44448,41484,98303,58705,84406,104835,86757,69615,84422,9088
October,2032,56160,109555,72290,24271,43139,72573,56655,65702,47270,42613,96972,68026,91842,112257,95374,75803,86700,10125
November,2032,55006,96004,65332,24248,32449,79632,48045,57683,47991,38522,99037,63962,76532,101008,86702,68101,77685,9649
December,2032,51026,86010,59668,21983,38310,66166,46775,57349,43358,40038,96834,53987,84440,97160,78588,64398,72494,8859
January,2033,48362,88930,70038,20730,35729,74494,52925,65872,47409,41098,98594,52348,74843,95371,77351,68398,76934,8648
February,2033,54435,82069,74420,23343,48759,71373,55919,67497,50522,45924,98875,58299,88219,99937,87603,69421,77510,9033
March,2033,58401,81760,82408,23370,40886,79803,54695,72647,46185,45649,104786,64065,95293,105913,95569,76674,83229,9838
April,2033,59764,113140,79766,27730,48643,84108,60789,74496,52795,46830,108622,65713,84687,114295,91622,74286,91667,10260
May,2033,67335,94132,77781,29798,52172,83580,68307,66525,58288,51851,108292,74410,94206,122225,109749,85410,92494,11393
June,2033,65335,96165,95879,30357,50865,91112,70351,70003,56538,52732,133203,78400,107805,134139,98451,94070,100366,11878
July,2033,81402,141609,117536,38423,57095,106930,78148,114817,79642,65260,146521,88299,138296,165735,134726,115454,121893,13888
August,2033,66069,115669,83969,28534,42025,83638,57878,74220,53567,52443,121349,68556,101238,118811,106659,81767,93937,11609
September,2033,57349,109350,83553,23479,41542,73988,57834,84642,53970,43369,98725,63947,91818,112696,87234,82883,85749,10084
October,2033,64423,85627,88477,27207,42128,86747,61026,90253,57461,48175,104908,69817,94966,124175,96275,79778,95645,10703
November,2033,58442,113079,73825,25772,48968,79425,60000,62999,48471,42012,99052,65796,80384,108525,84569,70022,81718,10090
December,2033,56501,103511,65847,22962,46661,71749,52720,58967,45499,43852,97231,61876,91621,105407,79417,72262,82656,9460
January,2034,56831,81307,67073,22994,36424,77095,49949,55325,44218,45117,97347,64879,91707,103638,88997,66821,80860,9193
February,2034,58064,111557,83963,23719,39055,74289,53366,60723,48301,47199,101466,67222,85027,108143,83303,78523,85747,9393
March,2034,63535,84865,86756,27928,53406,83712,63868,78272,56455,50094,101846,68647,93820,118302,101239,78885,89422,10315
April,2034,63847,102787,77207,26463,51776,86050,63569,81043,52684,54063,122478,71470,102190,126161,97875,88865,98070,11592
May,2034,68530,130204,89748,31345,47022,87757,69908,97656,63830,52744,123237,79634,117855,140865,115875,91690,104228,11831
June,2034,76880,150478,98082,34777,68929,95815,78443,85900,70309,55821,134845,88304,126593,152442,112084,97433,109694,12618
July,2034,95786,185235,139138,39229,68270,128948,98994,113859,89651,70737,186461,104886,162543,190103,156966,120182,138405,16835
August,2034,82026,147596,109858,34516,71802,110960,83569,109198,66202,64720,137524,80920,126642,154417,117641,105278,122904,14035
September,2034,59911,98794,80188,22518,45098,77323,57647,72310,54329,45959,104169,61769,90941,111856,85278,76451,88466,9769
October,2034,69678,131308,89504,26329,51290,91179,69079,83060,56149,49212,109592,69493,105404,131862,106123,92449,102248,12037
November,2034,60108,117112,81752,25859,52796,78558,58520,72321,49950,46459,112049,68786,102597,111687,86585,85874,86918,10958
December,2034,61059,84389,70998,24197,36696,75018,56238,62275,53723,50160,109400,64458,87239,113743,88678,82686,87104,9773
January,2035,61923,121722,81944,23654,46883,81066,59438,70038,49713,42472,109166,64943,97933,115492,83126,78807,83208,9645
February,2035,62533,111553,86657,25747,50259,81235,62220,77694,59049,50169,102745,62634,87936,120721,96344,80022,91121,10319
March,2035,66570,100073,81318,27830,57953,89748,60904,75167,56666,47621,117091,78290,93218,122973,104503,87173,100498,11539
April,2035,72351,107089,95324,28418,60455,90087,70318,79721,59262,49657,133248,75017,98348,137647,113902,93902,100882,11694
May,2035,78030,153267,113722,33138,55774,95272,72758,109584,65260,61166,149907,80624,130721,147756,122939,107720,116531,13766
June,2035,84518,149326,106605,36332,60047,112260,78658,83764,75530,59956,148221,88193,123237,160992,129509,113882,115109,14077
July,2035,107247,183011,156997,48314,71945,151506,104670,134486,101021,88125,193859,131219,177916,215676,169706,151054,160710,18443
August,2035,90085,126577,111866,35660,67769,113885,85374,100335,81917,71005,163569,94232,137071,156341,134755,109914,128987,14152
September,2035,69769,108755,93813,28057,57883,86404,67105,94390,57774,54689,117309,70002,105542,134177,107702,95008,101486,11187
October,2035,69022,114360,102918,29685,55124,105204,63409,76105,65539,60286,131825,78194,113800,129854,99817,97405,106789,11445
November,2035,66371,116017,82212,25501,40555,83332,63955,95406,56843,50168,105853,76903,101462,119110,95095,80999,97888,11050
December,2035,65740,110016,86396,24922,38964,79614,63724,82669,53655,49232,118820,67834,100916,124391,99609,84310,90858,11183
