sku,peak_inventory,avg_inventory,peak_to_avg_ratio,num_delayed_deliveries,total_delay_days,days_above_baseline,pct_days_above_baseline,simulation,k_factor,mean_delay,scenario
TotalInventory_Sim1,2672795.238095246,973064.9661942584,2.7467798461070694,88,255.87181576227124,84,3.3333333333333335,1,0.1,3.0,Low Disruption
TotalInventory_Sim2,3362390.285714296,1133656.792403629,2.965968455572174,91,313.661793179876,296,11.746031746031745,2,0.1,3.0,Low Disruption
TotalInventory_Sim3,3138436.857142864,926492.4553665924,3.387439194959288,83,268.3546833976535,44,1.746031746031746,3,0.1,3.0,Low Disruption
TotalInventory_Sim4,2351236.7142857164,898141.2980725629,2.6178917719645427,90,246.2791832957697,10,0.3968253968253968,4,0.1,3.0,Low Disruption
TotalInventory_Sim5,2291711.571428573,890762.6703892676,2.572752145559809,94,269.3837349276028,35,1.3888888888888888,5,0.1,3.0,Low Disruption
TotalInventory_Sim6,3164570.857142861,882093.9859410455,3.58756652644763,87,245.20356269333377,34,1.3492063492063493,6,0.1,3.0,Low Disruption
TotalInventory_Sim7,2464291.9999999995,930429.6828798192,2.6485526476032524,82,250.63795110189633,62,2.4603174603174605,7,0.1,3.0,Low Disruption
TotalInventory_Sim8,3519518.8571428577,1062827.8161564637,3.311466639883965,88,284.24853273894456,217,8.61111111111111,8,0.1,3.0,Low Disruption
TotalInventory_Sim9,2937448.571428575,1106564.760487531,2.6545654410089763,84,274.9674379091248,216,8.571428571428571,9,0.1,3.0,Low Disruption
TotalInventory_Sim10,3048429.190476198,1030493.3152683314,2.9582231590531123,85,279.22245650725154,150,5.952380952380952,10,0.1,3.0,Low Disruption
TotalInventory_Sim11,3065132.1904761917,928008.3247732429,3.3029145414456824,89,267.6513658685253,36,1.4285714285714286,11,0.1,3.0,Low Disruption
TotalInventory_Sim12,3335138.857142866,1152527.6230536695,2.893760453485946,78,239.09743819544374,352,13.968253968253968,12,0.1,3.0,Low Disruption
TotalInventory_Sim13,3004576.761904767,909372.308503402,3.3040117164437786,89,285.81325200132426,28,1.1111111111111112,13,0.1,3.0,Low Disruption
TotalInventory_Sim14,2866275.4761904804,836796.7256046867,3.4252948039671764,84,215.54885306505665,5,0.1984126984126984,14,0.1,3.0,Low Disruption
TotalInventory_Sim15,2546879.4285714296,901506.1966742264,2.825138016762612,91,282.9505487208212,46,1.8253968253968256,15,0.1,3.0,Low Disruption
TotalInventory_Sim16,2993091.4285714366,973146.2359410452,3.0756851519618507,87,232.01640680366543,62,2.4603174603174605,16,0.1,3.0,Low Disruption
TotalInventory_Sim17,3269418.857142866,1088208.0341836754,3.0044061010773886,85,277.25913464470534,290,11.507936507936508,17,0.1,3.0,Low Disruption
TotalInventory_Sim18,3339662.428571431,1296155.4098072571,2.5765910501951694,84,262.1960963963347,675,26.785714285714285,18,0.1,3.0,Low Disruption
TotalInventory_Sim19,2726724.285714289,1086330.392573696,2.510032218885296,91,318.9170122531645,240,9.523809523809524,19,0.1,3.0,Low Disruption
TotalInventory_Sim20,2776449.333333333,950197.6064247924,2.921970455998078,90,285.20378291439965,41,1.6269841269841272,20,0.1,3.0,Low Disruption
TotalInventory_Sim21,2667090.0952380965,896582.8905139844,2.974727851107144,83,280.0240559497277,4,0.15873015873015872,21,0.1,3.0,Low Disruption
TotalInventory_Sim22,2492648.0000000014,855188.2137944072,2.914736147894632,83,258.15401632872477,4,0.15873015873015872,22,0.1,3.0,Low Disruption
TotalInventory_Sim23,3027560.3809523834,1132639.285128497,2.673013748246344,84,261.7517456607722,401,15.912698412698411,23,0.1,3.0,Low Disruption
TotalInventory_Sim24,2779135.952380955,855620.2451436141,3.248095131169416,96,296.45188343436166,8,0.31746031746031744,24,0.1,3.0,Low Disruption
TotalInventory_Sim25,3036740.714285716,1021466.4665343919,2.972922571397474,88,285.5869245716889,111,4.404761904761905,25,0.1,3.0,Low Disruption
TotalInventory_Sim26,3078885.8571428647,1086567.3383786872,2.8335895516029406,85,246.41493719011703,248,9.841269841269842,26,0.1,3.0,Low Disruption
TotalInventory_Sim27,2840393.5714285714,983830.7526832967,2.887075407717935,86,272.7365637431176,84,3.3333333333333335,27,0.1,3.0,Low Disruption
TotalInventory_Sim28,3006933.1428571427,956894.4126039335,3.142387606459708,85,277.133101460164,59,2.3412698412698414,28,0.1,3.0,Low Disruption
TotalInventory_Sim29,3066545.2380952374,825384.5758692374,3.7152926378176696,88,231.51205882057107,3,0.11904761904761905,29,0.1,3.0,Low Disruption
TotalInventory_Sim30,2789536.1428571455,960916.6845238106,2.9029948046323297,87,301.61831034460397,36,1.4285714285714286,30,0.1,3.0,Low Disruption
TotalInventory_Sim31,3338742.857142866,883801.8976946352,3.777705010423551,87,238.45646592576577,65,2.579365079365079,31,0.1,3.0,Low Disruption
TotalInventory_Sim32,2906368.1428571464,864367.0219198802,3.3624236801650484,97,298.1534163499072,6,0.2380952380952381,32,0.1,3.0,Low Disruption
TotalInventory_Sim33,3344363.380952391,1097244.89750567,3.047964395692356,79,264.418859655594,268,10.634920634920634,33,0.1,3.0,Low Disruption
TotalInventory_Sim34,3127549.9047619114,1034138.1705404411,3.0243056429562527,88,265.3342449135371,142,5.634920634920635,34,0.1,3.0,Low Disruption
TotalInventory_Sim35,3391471.4285714375,1149848.486054423,2.9494941896291866,90,248.17857975837217,400,15.873015873015872,35,0.1,3.0,Low Disruption
TotalInventory_Sim36,3027722.095238098,993562.2536659123,3.047340097781308,86,271.9935363266859,92,3.650793650793651,36,0.1,3.0,Low Disruption
TotalInventory_Sim37,2936618.2857142887,869979.8983560096,3.3755013090113697,93,233.4142958345006,16,0.6349206349206349,37,0.1,3.0,Low Disruption
TotalInventory_Sim38,3231477.4285714347,933034.2155895695,3.4634072090587966,88,287.01940204642,108,4.285714285714286,38,0.1,3.0,Low Disruption
TotalInventory_Sim39,3052756.857142865,1056770.1924603202,2.888761320978961,78,210.28160745295892,189,7.5,39,0.1,3.0,Low Disruption
TotalInventory_Sim40,3123124.2857142873,938058.1932161755,3.329350255986265,84,271.78188487857153,31,1.2301587301587302,40,0.1,3.0,Low Disruption
TotalInventory_Sim41,2640951.190476195,979453.3090513996,2.696352308037997,84,263.47588854540135,84,3.3333333333333335,41,0.1,3.0,Low Disruption
TotalInventory_Sim42,2926031.6666666707,916006.7100529111,3.1943343149720542,82,254.2414518802483,17,0.6746031746031746,42,0.1,3.0,Low Disruption
TotalInventory_Sim43,2814393.809523819,1079379.161999246,2.6074190688570886,83,234.0263796701647,215,8.531746031746032,43,0.1,3.0,Low Disruption
TotalInventory_Sim44,3121609.0476190494,977663.1248677258,3.192929106374337,90,292.97984255935364,84,3.3333333333333335,44,0.1,3.0,Low Disruption
TotalInventory_Sim45,3015702.1428571474,931094.314833713,3.238879343169151,86,238.1266804249245,48,1.9047619047619049,45,0.1,3.0,Low Disruption
TotalInventory_Sim46,3043249.8571428615,924998.5324452005,3.2900050653033355,84,268.3398447027925,47,1.8650793650793651,46,0.1,3.0,Low Disruption
TotalInventory_Sim47,3051507.095238101,946438.2549886655,3.2242009229378055,89,241.76696268264593,44,1.746031746031746,47,0.1,3.0,Low Disruption
TotalInventory_Sim48,2718270.7142857183,783551.6494520041,3.469165965238931,83,205.6066070904472,0,0.0,48,0.1,3.0,Low Disruption
TotalInventory_Sim49,2721085.47619048,888236.8604497355,3.0634683127344315,88,292.958049037083,14,0.5555555555555556,49,0.1,3.0,Low Disruption
TotalInventory_Sim50,3264893.1428571497,1017051.7496031795,3.210154393944069,93,285.0541197806503,143,5.674603174603175,50,0.1,3.0,Low Disruption
TotalInventory_Sim1,3560460.3333333423,1248672.6035336365,2.8513962132728343,116,635.277023840848,587,23.293650793650794,1,0.3,5.0,Moderate Disruption
TotalInventory_Sim2,3067471.3809523834,1049139.6042139083,2.923797146377632,118,556.3629402878126,219,8.69047619047619,2,0.3,5.0,Moderate Disruption
TotalInventory_Sim3,3313930.9523809524,1291563.7393424057,2.565828422891639,116,617.9342739971598,581,23.055555555555557,3,0.3,5.0,Moderate Disruption
TotalInventory_Sim4,3300857.1428571492,1221945.0218065022,2.7013139576257035,115,611.9957823249119,478,18.96825396825397,4,0.3,5.0,Moderate Disruption
TotalInventory_Sim5,3483687.8571428703,1286834.4192932767,2.707176467238182,118,579.09359216518,658,26.111111111111114,5,0.3,5.0,Moderate Disruption
TotalInventory_Sim6,3084139.2857142948,1228725.3020975094,2.510031559087682,117,639.1861368140201,537,21.30952380952381,6,0.3,5.0,Moderate Disruption
TotalInventory_Sim7,3231421.7142857187,1200816.028798186,2.6910214693917984,119,638.3464696121144,451,17.896825396825395,7,0.3,5.0,Moderate Disruption
TotalInventory_Sim8,3931049.190476191,1440475.307388513,2.7289944994634614,113,513.904252483535,931,36.94444444444444,8,0.3,5.0,Moderate Disruption
TotalInventory_Sim9,2910995.714285716,1239438.2817082398,2.348641120131995,113,492.2629303159882,547,21.706349206349206,9,0.3,5.0,Moderate Disruption
TotalInventory_Sim10,3536242.619047623,1214087.2892479217,2.9126757609316405,119,609.6557944653398,460,18.253968253968253,10,0.3,5.0,Moderate Disruption
TotalInventory_Sim11,3525211.8095238134,1294119.268556315,2.724023894224561,118,542.2958396198305,610,24.206349206349206,11,0.3,5.0,Moderate Disruption
TotalInventory_Sim12,4065243.1904761894,1218720.353117918,3.3356652985041717,115,636.6836793648341,495,19.642857142857142,12,0.3,5.0,Moderate Disruption
TotalInventory_Sim13,3001351.7142857155,1065090.4979402868,2.817931171191411,115,513.7111481082767,207,8.214285714285714,13,0.3,5.0,Moderate Disruption
TotalInventory_Sim14,3777201.8571428633,1039791.1223167063,3.632654459221646,118,606.2924559525167,242,9.603174603174605,14,0.3,5.0,Moderate Disruption
TotalInventory_Sim15,3880796.7142857146,1395218.4440287228,2.7814975718639667,115,624.882085233308,916,36.34920634920635,15,0.3,5.0,Moderate Disruption
TotalInventory_Sim16,3334176.428571438,1130048.6966553302,2.9504714606014684,115,573.0637626852058,366,14.523809523809526,16,0.3,5.0,Moderate Disruption
TotalInventory_Sim17,3080809.857142861,1235162.6285903277,2.4942544291992887,114,595.6777808055223,601,23.84920634920635,17,0.3,5.0,Moderate Disruption
TotalInventory_Sim18,3143078.3333333433,1090194.6504535174,2.8830432547305502,119,530.3170732586367,252,10.0,18,0.3,5.0,Moderate Disruption
TotalInventory_Sim19,3761566.9047619128,1124264.0241496614,3.34580385386518,114,617.6272293924607,364,14.444444444444443,19,0.3,5.0,Moderate Disruption
TotalInventory_Sim20,3609122.8571428703,1209073.9446523068,2.9850307114018118,115,496.4194307913588,457,18.134920634920633,20,0.3,5.0,Moderate Disruption
TotalInventory_Sim21,3376992.5238095326,1277175.6124149743,2.6441097770603963,114,629.5254067961997,672,26.666666666666668,21,0.3,5.0,Moderate Disruption
TotalInventory_Sim22,3374296.523809524,1556249.524981107,2.168223327715064,118,687.4958423729706,1242,49.28571428571429,22,0.3,5.0,Moderate Disruption
TotalInventory_Sim23,3022327.714285714,1123159.9953514766,2.690914675375275,114,576.6153537075495,369,14.642857142857144,23,0.3,5.0,Moderate Disruption
TotalInventory_Sim24,3406705.333333342,1077220.1463340907,3.162496862806334,117,540.1212793236891,225,8.928571428571429,24,0.3,5.0,Moderate Disruption
TotalInventory_Sim25,2801658.5714285756,1105751.7977324266,2.533713783847295,115,568.695018200072,274,10.873015873015873,25,0.3,5.0,Moderate Disruption
TotalInventory_Sim26,4287571.904761913,1345342.9977324274,3.1869730707994957,117,658.9706828405018,661,26.23015873015873,26,0.3,5.0,Moderate Disruption
TotalInventory_Sim27,3484561.2380952397,1150827.3539115654,3.0278748817114134,117,528.7674322067037,350,13.88888888888889,27,0.3,5.0,Moderate Disruption
TotalInventory_Sim28,2992536.904761916,1100900.6063303123,2.71826256389947,114,478.6352601661144,288,11.428571428571429,28,0.3,5.0,Moderate Disruption
TotalInventory_Sim29,3495197.476190476,1284654.4507558583,2.7207296671365517,119,523.878025050013,612,24.285714285714285,29,0.3,5.0,Moderate Disruption
TotalInventory_Sim30,3064038.6190476264,1197777.4567838265,2.558103428724507,116,553.0655751296833,480,19.047619047619047,30,0.3,5.0,Moderate Disruption
TotalInventory_Sim31,3024911.1428571506,1009344.4405517787,2.9969067261157365,118,558.6149003001059,162,6.428571428571428,31,0.3,5.0,Moderate Disruption
TotalInventory_Sim32,3801751.7142857322,1313962.4471277457,2.893348833976318,112,607.1263648055034,637,25.27777777777778,32,0.3,5.0,Moderate Disruption
TotalInventory_Sim33,3339760.0476190476,1215225.653835979,2.7482632851575897,118,630.1110551695665,520,20.634920634920633,33,0.3,5.0,Moderate Disruption
TotalInventory_Sim34,3504080.3809523815,1265230.4038737752,2.7695195833295543,115,561.3763990447376,575,22.817460317460316,34,0.3,5.0,Moderate Disruption
TotalInventory_Sim35,3685855.238095238,1226359.8456349245,3.0055250514068783,119,707.7786208681908,502,19.92063492063492,35,0.3,5.0,Moderate Disruption
TotalInventory_Sim36,3158739.2857142887,1177948.4933862488,2.6815597655156043,117,708.3466669500498,420,16.666666666666664,36,0.3,5.0,Moderate Disruption
TotalInventory_Sim37,3663909.6666666735,1136027.659769469,3.2251940656182447,116,574.1130491685816,397,15.753968253968253,37,0.3,5.0,Moderate Disruption
TotalInventory_Sim38,3262333.0476190457,1156250.4787226003,2.8214760621964876,114,541.0709954626241,370,14.682539682539684,38,0.3,5.0,Moderate Disruption
TotalInventory_Sim39,3850638.809523819,1182607.8763227526,3.2560571315465503,111,596.6331013514206,402,15.95238095238095,39,0.3,5.0,Moderate Disruption
TotalInventory_Sim40,3168114.2857142864,1211078.8625850338,2.615943836185848,115,660.3840064047299,498,19.761904761904763,40,0.3,5.0,Moderate Disruption
TotalInventory_Sim41,3422086.7619047714,1153721.5580120948,2.966128818639009,117,560.7331600700887,349,13.84920634920635,41,0.3,5.0,Moderate Disruption
TotalInventory_Sim42,3397991.666666667,1149262.6767195782,2.956671033958742,116,619.1001868862376,340,13.492063492063492,42,0.3,5.0,Moderate Disruption
TotalInventory_Sim43,3212640.428571427,1402751.6927437666,2.2902417050643784,116,568.0339017005296,946,37.53968253968254,43,0.3,5.0,Moderate Disruption
TotalInventory_Sim44,3336841.9047619095,1173309.9904006068,2.843955929858401,117,563.9503317073322,423,16.785714285714285,44,0.3,5.0,Moderate Disruption
TotalInventory_Sim45,3762366.6190476343,1276025.3520975085,2.948504598958885,120,541.7680255489389,555,22.023809523809522,45,0.3,5.0,Moderate Disruption
TotalInventory_Sim46,3394599.7142857173,1110185.819595618,3.0576860687359444,119,488.97708618880677,308,12.222222222222221,46,0.3,5.0,Moderate Disruption
TotalInventory_Sim47,3978720.0952381073,1313911.9901171618,3.028148099084874,118,613.5971856850847,645,25.595238095238095,47,0.3,5.0,Moderate Disruption
TotalInventory_Sim48,3363681.5714285816,1146653.1741496627,2.933477748337484,117,561.4277553490153,301,11.944444444444445,48,0.3,5.0,Moderate Disruption
TotalInventory_Sim49,3003150.6190476213,1116939.6655328802,2.688731282199428,119,568.5289815848995,269,10.674603174603174,49,0.3,5.0,Moderate Disruption
TotalInventory_Sim50,3189599.6190476175,850736.8803099021,3.7492198738177733,114,510.7025922195859,50,1.984126984126984,50,0.3,5.0,Moderate Disruption
TotalInventory_Sim1,4244348.428571453,1863008.2811035602,2.2782230608536516,120,1867.4900133904941,1565,62.10317460317461,1,0.5,14.0,High Disruption
TotalInventory_Sim2,4546389.142857146,1631709.354724113,2.7862738726688514,120,1788.3276896368398,1287,51.07142857142857,2,0.5,14.0,High Disruption
TotalInventory_Sim3,4386384.523809526,1707146.5080687872,2.569424769975737,120,1678.0031564422195,1343,53.29365079365079,3,0.5,14.0,High Disruption
TotalInventory_Sim4,4645678.523809535,1723840.3860166327,2.6949586292873353,120,1489.6944283223736,1420,56.34920634920635,4,0.5,14.0,High Disruption
TotalInventory_Sim5,4346284.761904762,1799232.8610733198,2.415632159648316,119,1786.0363675979097,1503,59.64285714285714,5,0.5,14.0,High Disruption
TotalInventory_Sim6,4876692.333333335,1497980.0878117916,3.2555121212973357,120,1916.787551515356,989,39.24603174603175,6,0.5,14.0,High Disruption
TotalInventory_Sim7,4576565.8095238255,1576494.6639644757,2.903001141795779,120,1486.8882169304575,1181,46.86507936507937,7,0.5,14.0,High Disruption
TotalInventory_Sim8,5145802.047619055,1761354.474300833,2.9215028108760865,119,1647.3930409025838,1455,57.738095238095234,8,0.5,14.0,High Disruption
TotalInventory_Sim9,4323062.285714294,1632819.7798563906,2.6476052893568665,118,1375.6939682460716,1388,55.07936507936508,9,0.5,14.0,High Disruption
TotalInventory_Sim10,3901851.523809515,1596481.7950113385,2.4440313293906386,120,1656.7195018741122,1270,50.39682539682539,10,0.5,14.0,High Disruption
TotalInventory_Sim11,4237573.1904762015,1582023.7497921407,2.67857748092149,120,1605.7300979560837,1194,47.38095238095238,11,0.5,14.0,High Disruption
TotalInventory_Sim12,4155736.0952380947,1451197.6616591094,2.863659586170343,119,1549.3986524570503,1019,40.43650793650794,12,0.5,14.0,High Disruption
TotalInventory_Sim13,5548304.000000021,2041879.1289304616,2.7172538870634466,120,1909.8212813360888,1527,60.59523809523809,13,0.5,14.0,High Disruption
TotalInventory_Sim14,5991331.571428568,2000678.0276644074,2.9946505577525895,119,1638.6833640879051,1635,64.88095238095238,14,0.5,14.0,High Disruption
TotalInventory_Sim15,4146981.285714261,1827926.3898903914,2.2686806802777917,120,1775.795090497491,1538,61.03174603174604,15,0.5,14.0,High Disruption
TotalInventory_Sim16,3718280.0000000037,1353477.1918934253,2.747205510569687,119,1729.7448500904864,874,34.682539682539684,16,0.5,14.0,High Disruption
TotalInventory_Sim17,6384142.142857156,1927457.1888321987,3.312209568050203,119,1897.6656474685597,1470,58.333333333333336,17,0.5,14.0,High Disruption
TotalInventory_Sim18,5376866.571428583,1851006.3716553294,2.904834177647982,120,1802.1187139920619,1621,64.32539682539684,18,0.5,14.0,High Disruption
TotalInventory_Sim19,3823214.2857142785,1702672.038718818,2.245420256381887,119,1501.4246763181384,1336,53.01587301587302,19,0.5,14.0,High Disruption
TotalInventory_Sim20,4805359.000000005,1668931.189172338,2.879303251791402,118,1525.5219840128836,1328,52.6984126984127,20,0.5,14.0,High Disruption
TotalInventory_Sim21,3986664.380952385,1569364.2553288003,2.5403053289990547,120,1787.2144009831,1232,48.888888888888886,21,0.5,14.0,High Disruption
TotalInventory_Sim22,3552705.6666666665,1293478.6759259286,2.7466287096874513,119,1443.2012143674986,805,31.944444444444443,22,0.5,14.0,High Disruption
TotalInventory_Sim23,5791106.571428576,1585431.754289494,3.6527000015991486,119,1595.8570397327046,1139,45.198412698412696,23,0.5,14.0,High Disruption
TotalInventory_Sim24,5530730.714285749,1917326.6896258567,2.8846052914253257,117,1555.7688412024127,1536,60.952380952380956,24,0.5,14.0,High Disruption
TotalInventory_Sim25,4047060.904761923,1782946.2387566173,2.269872650554087,120,1597.1494836882248,1501,59.56349206349206,25,0.5,14.0,High Disruption
TotalInventory_Sim26,4448542.6190476185,1646763.3140400592,2.7013855489249763,120,1927.900898204954,1249,49.56349206349206,26,0.5,14.0,High Disruption
TotalInventory_Sim27,4504938.428571428,1699680.2501889686,2.6504623019950806,119,1399.6937920697824,1373,54.48412698412698,27,0.5,14.0,High Disruption
TotalInventory_Sim28,4853144.000000008,1740202.6072562377,2.7888384833832185,119,1930.5084213788618,1454,57.698412698412696,28,0.5,14.0,High Disruption
TotalInventory_Sim29,5079802.142857163,1970534.0404950888,2.5778809391087116,120,1756.381382570928,1590,63.095238095238095,29,0.5,14.0,High Disruption
TotalInventory_Sim30,3993458.8571428573,1441794.7074452036,2.7697832683954635,120,1595.7893042187707,974,38.65079365079365,30,0.5,14.0,High Disruption
TotalInventory_Sim31,4188816.5238095284,1696283.6603552538,2.469408048729457,119,1356.1497894221714,1386,55.00000000000001,31,0.5,14.0,High Disruption
TotalInventory_Sim32,3981376.7619047733,1747437.5721844246,2.2784085825325144,120,1502.1470917240763,1446,57.38095238095238,32,0.5,14.0,High Disruption
TotalInventory_Sim33,4810826.476190492,1880211.7176492836,2.5586621075871077,119,1626.8974382149381,1599,63.45238095238095,33,0.5,14.0,High Disruption
TotalInventory_Sim34,4281420.047619044,1619709.932199546,2.6433251797159314,120,1870.089117383316,1211,48.05555555555556,34,0.5,14.0,High Disruption
TotalInventory_Sim35,3987537.380952383,1606323.1263038537,2.482400530538148,119,1625.4539694802875,1299,51.547619047619044,35,0.5,14.0,High Disruption
TotalInventory_Sim36,3917001.9047619207,1849770.0959939547,2.117561481421377,119,1400.0915709204642,1487,59.007936507936506,36,0.5,14.0,High Disruption
TotalInventory_Sim37,3924273.19047619,1491641.2845805013,2.6308424358070948,118,1530.9567514909947,1056,41.904761904761905,37,0.5,14.0,High Disruption
TotalInventory_Sim38,4385768.142857141,1406984.8743197266,3.1171395108121884,120,1859.9818334851961,960,38.095238095238095,38,0.5,14.0,High Disruption
TotalInventory_Sim39,4252956.285714292,1593697.024773245,2.6686102939292446,119,1825.9060279270022,1239,49.166666666666664,39,0.5,14.0,High Disruption
TotalInventory_Sim40,4152455.1428571506,1565617.8316326565,2.652278901631371,119,1605.9490173880633,1172,46.507936507936506,40,0.5,14.0,High Disruption
TotalInventory_Sim41,4755334.714285727,1681736.4302154183,2.8276337652247934,119,1830.3368638627421,1340,53.17460317460318,41,0.5,14.0,High Disruption
TotalInventory_Sim42,4276751.714285719,1823286.6192554762,2.3456277631391247,119,1642.1759114137776,1506,59.76190476190476,42,0.5,14.0,High Disruption
TotalInventory_Sim43,4222717.714285723,1549307.2167422571,2.725552213695145,120,1510.89264333087,1253,49.72222222222222,43,0.5,14.0,High Disruption
TotalInventory_Sim44,4177797.1428571516,1421200.769992444,2.939624879938225,120,1386.8302891392668,910,36.11111111111111,44,0.5,14.0,High Disruption
TotalInventory_Sim45,4317170.142857143,1777643.9981670452,2.4285909593308,118,1721.0735565889145,1421,56.388888888888886,45,0.5,14.0,High Disruption
TotalInventory_Sim46,4416393.285714292,1640331.3352418737,2.6923787839870026,116,1367.2399477330162,1278,50.71428571428571,46,0.5,14.0,High Disruption
TotalInventory_Sim47,4568383.809523808,1943916.657728641,2.350092423644186,120,1495.0362831979191,1570,62.301587301587304,47,0.5,14.0,High Disruption
TotalInventory_Sim48,3876685.809523815,1614923.683219957,2.400538087220435,119,1583.7569270148863,1319,52.34126984126984,48,0.5,14.0,High Disruption
TotalInventory_Sim49,4561861.761904777,1407318.6345427092,3.241527291640743,118,1566.1710552575457,889,35.27777777777778,49,0.5,14.0,High Disruption
TotalInventory_Sim50,4682911.190476195,1778153.9349773251,2.633580309533725,119,1841.8392228312978,1498,59.44444444444444,50,0.5,14.0,High Disruption
